cut_tag, device_id,try_steps,process_time,decode_time,sum_of_count
4rect,0,3,2.9717912673950195,0.012334108352661133,126
4rect,0,10,6.579477548599243,0.01243281364440918,248
4rect,0,10,3.922783136367798,0.013288736343383789,157
4rect,0,10,5.552805185317993,0.011959075927734375,209
4rect,0,10,5.636046886444092,0.01078343391418457,214
4rect,0,10,9.692583560943604,0.011802434921264648,326
4rect,0,10,10.16660737991333,0.01313638687133789,335
4rect,0,10,8.139307975769043,0.012547969818115234,274
4rect,0,10,10.149649143218994,0.013990402221679688,326
4rect,0,1,1.164646863937378,0.012196540832519531,55
4rect,0,1,1.429121971130371,0.011753082275390625,69
